Name,Year,Certificate,Duration (min),Genre,Rating,Metascore,Vote,Boxoffice (Million $)
The Guilty,(2018),R,85.0,"Crime, Drama, Thriller",7.6,83.0,18690.0,21.0
Shoplifters,(2018),R,121.0,"Crime, Drama",8.1,93.0,18602.0,316.0
The Darkest Minds,(2018),PG-13,104.0,"Action, Adventure, Drama",5.7,39.0,18458.0,1270.0
Operation Finale,(2018),PG-13,122.0,"Biography, Drama, History",6.5,58.0,18313.0,1761.0
Super Troopers 2,(2018),R,99.0,"Comedy, Crime, Mystery",6.1,41.0,18293.0,3062.0
Instant Family,(2018),PG-13,118.0,"Comedy, Drama",7.5,57.0,17924.0,6736.0
22 July,(2018),R,143.0,"Crime, Drama, History",6.8,69.0,17580.0,17547.0
Can You Ever Forgive Me?,(2018),R,106.0,"Biography, Comedy, Crime",7.2,87.0,17522.0,875.0
Slender Man,(2018),PG-13,93.0,"Horror, Mystery, Thriller",3.2,30.0,16668.0,3057.0
Book Club,(I) (2018),PG-13,104.0,"Comedy, Drama, Romance",6.1,53.0,16397.0,6857.0
Traffik,(2018),R,96.0,Thriller,6.0,37.0,16015.0,919.0
Dumplin',(2018),PG-13,110.0,"Comedy, Drama, Musical",6.8,53.0,15809.0,15730.0
Incident in a Ghostland,(2018),Not Rated,91.0,"Drama, Horror, Mystery",6.4,44.0,15643.0,15627.0
The Outsider,(I) (2018),TV-MA,120.0,"Crime, Drama, Thriller",6.3,30.0,15337.0,15186.0
Cam,(2018),TV-MA,94.0,"Horror, Mystery, Thriller",6.0,71.0,15131.0,15114.0
Burning,(2018),Not Rated,148.0,"Drama, Mystery",7.6,90.0,15007.0,71.0
Early Man,(2018),PG,89.0,"Animation, Adventure, Comedy",6.1,68.0,14821.0,827.0
The Happytime Murders,(2018),R,91.0,"Action, Comedy, Crime",5.3,27.0,14733.0,2071.0
The Nutcracker and the Four Realms,(2018),PG,99.0,"Adventure, Family, Fantasy",5.5,39.0,14622.0,5486.0
Mid90s,(2018),R,85.0,"Comedy, Drama",7.4,66.0,14598.0,736.0
Like Father,(I) (2018),TV-MA,98.0,"Comedy, Drama",6.1,52.0,14587.0,14557.0
Won't You Be My Neighbor?,(2018),PG-13,94.0,"Documentary, Biography",8.5,85.0,14536.0,2261.0
Climax,(I) (2018),R,95.0,"Drama, Horror, Music",7.3,83.0,14264.0,14233.0
The Hurricane Heist,(2018),PG-13,103.0,"Action, Crime, Thriller",5.1,35.0,14233.0,612.0
Midnight Sun,(2018),PG-13,91.0,"Drama, Romance",6.6,38.0,14232.0,956.0
Calibre,(2018),TV-MA,101.0,Thriller,6.7,76.0,14154.0,13888.0
Blindspotting,(2018),R,95.0,"Comedy, Crime, Drama",7.4,77.0,13888.0,433.0
Beirut,(2018),R,109.0,"Drama, Thriller",6.4,69.0,13820.0,502.0
Mary Queen of Scots,(2018),R,124.0,"Biography, Drama, History",6.4,60.0,13819.0,1647.0
If Beale Street Could Talk,(2018),R,119.0,"Crime, Drama, Romance",7.5,87.0,13804.0,1443.0
The Hate U Give,(2018),PG-13,133.0,"Crime, Drama",7.2,81.0,13371.0,2972.0
Terminal,(I) (2018),Not Rated,95.0,"Crime, Drama, Thriller",5.3,27.0,13280.0,13261.0
Destination Wedding,(2018),R,90.0,"Comedy, Drama, Romance",6.0,46.0,12972.0,12919.0
Boy Erased,(2018),R,115.0,"Biography, Drama",7.0,69.0,12919.0,679.0
The Week Of,(2018),TV-14,116.0,Comedy,5.1,41.0,12754.0,12734.0
Dragon Ball Super: Broly,(2018),PG,100.0,"Animation, Action, Adventure",8.2,59.0,12725.0,3071.0
White Boy Rick,(2018),R,111.0,"Crime, Drama",6.5,59.0,12255.0,2401.0
Everybody Knows,(2018),R,133.0,"Crime, Drama, Mystery",7.0,68.0,12181.0,69.0
"Don't Worry, He Won't Get Far on Foot",(2018),R,114.0,"Biography, Comedy, Drama",6.9,67.0,11930.0,144.0
Bad Samaritan,(2018),R,110.0,"Crime, Thriller",6.4,42.0,11889.0,344.0
Ibiza,(2018),TV-MA,94.0,"Comedy, Romance",5.2,56.0,11873.0,11716.0
Every Day,(2018),PG-13,97.0,"Drama, Fantasy, Romance",6.4,52.0,11560.0,610.0
Three Identical Strangers,(2018),PG-13,96.0,"Documentary, Biography, Drama",7.7,81.0,11344.0,1232.0
Unfriended: Dark Web,(2018),R,92.0,"Crime, Horror, Mystery",5.8,53.0,11148.0,878.0
Under the Silver Lake,(2018),R,139.0,"Comedy, Crime, Drama",6.3,59.0,11086.0,11039.0
They Shall Not Grow Old,(2018),R,99.0,"Documentary, History, War",8.5,91.0,11039.0,1640.0
Teen Titans Go! To the Movies,(2018),PG,84.0,"Animation, Action, Comedy",6.8,69.0,10945.0,2956.0
